elim_threshold,overall_weight,positional_weight,avg_guesses
100,1,0.0,3.8138228941684664
100,1,0.1,3.7848812095032396
100,1,0.2,3.783585313174946
100,1,0.3,3.7848812095032396
100,1,0.4,3.787904967602592
100,1,0.5,3.786609071274298
100,1,0.6,3.8319654427645786
100,1,0.7,3.8354211663066953
100,1,0.8,3.8367170626349894
100,1,0.9,3.838012958963283
100,1,1.0,3.838876889848812
100,1,1.1,3.838876889848812
100,1,1.2,3.838876889848812
100,1,1.3,3.838876889848812
100,1,1.4,3.8367170626349894
100,1,1.5,3.8367170626349894
100,1,1.6,3.83585313174946
100,1,1.7,3.838012958963283
100,1,1.8,3.841036717062635
100,1,1.9,3.8423326133909286
100,1,2.0,3.8423326133909286
150,1,0.0,3.8025917926565875
150,1,0.1,3.7809935205183587
150,1,0.2,3.7779697624190063
150,1,0.3,3.7788336933045357
150,1,0.4,3.7809935205183587
150,1,0.5,3.786609071274298
150,1,0.6,3.822462203023758
150,1,0.7,3.8259179265658747
150,1,0.8,3.8263498920086394
150,1,0.9,3.827645788336933
150,1,1.0,3.8285097192224624
150,1,1.1,3.8285097192224624
150,1,1.2,3.8285097192224624
150,1,1.3,3.8285097192224624
150,1,1.4,3.8263498920086394
150,1,1.5,3.8263498920086394
150,1,1.6,3.8263498920086394
150,1,1.7,3.8285097192224624
150,1,1.8,3.8315334773218144
150,1,1.9,3.832829373650108
150,1,2.0,3.832829373650108
200,1,0.0,3.8025917926565875
200,1,0.1,3.7771058315334773
200,1,0.2,3.7740820734341254
200,1,0.3,3.776241900647948
200,1,0.4,3.7874730021598273
200,1,0.5,3.7930885529157665
200,1,0.6,3.819870410367171
200,1,0.7,3.8233261339092874
200,1,0.8,3.8237580993520517
200,1,0.9,3.8250539956803458
200,1,1.0,3.8228941684665227
200,1,1.1,3.8228941684665227
200,1,1.2,3.8228941684665227
200,1,1.3,3.8228941684665227
200,1,1.4,3.8207343412526997
200,1,1.5,3.8207343412526997
200,1,1.6,3.8207343412526997
200,1,1.7,3.8228941684665227
200,1,1.8,3.8259179265658747
200,1,1.9,3.8272138228941683
200,1,2.0,3.8272138228941683
250,1,0.0,3.8025917926565875
250,1,0.1,3.7818574514038876
250,1,0.2,3.7792656587473004
250,1,0.3,3.7822894168466523
250,1,0.4,3.793520518358531
250,1,0.5,3.799136069114471
250,1,0.6,3.8315334773218144
250,1,0.7,3.834989200863931
250,1,0.8,3.8354211663066953
250,1,0.9,3.8354211663066953
250,1,1.0,3.8332613390928727
250,1,1.1,3.8332613390928727
250,1,1.2,3.8332613390928727
250,1,1.3,3.8332613390928727
250,1,1.4,3.8311015118790497
250,1,1.5,3.8250539956803458
250,1,1.6,3.826781857451404
250,1,1.7,3.8289416846652267
250,1,1.8,3.8319654427645786
250,1,1.9,3.8332613390928727
250,1,2.0,3.8332613390928727
300,1,0.0,3.806911447084233
300,1,0.1,3.7714902807775377
300,1,0.2,3.769330453563715
300,1,0.3,3.7809935205183587
300,1,0.4,3.7922246220302376
300,1,0.5,3.7978401727861772
300,1,0.6,3.8526997840172785
300,1,0.7,3.8548596112311015
300,1,0.8,3.856155507559395
300,1,0.9,3.856155507559395
300,1,1.0,3.852267818574514
300,1,1.1,3.852267818574514
300,1,1.2,3.852267818574514
300,1,1.3,3.852267818574514
300,1,1.4,3.8501079913606913
300,1,1.5,3.844060475161987
300,1,1.6,3.84622030237581
300,1,1.7,3.84622030237581
300,1,1.8,3.849244060475162
300,1,1.9,3.8505399568034555
300,1,2.0,3.858315334773218
350,1,0.0,3.81511879049676
350,1,0.1,3.7663066954643627
350,1,0.2,3.76414686825054
350,1,0.3,3.7758099352051837
350,1,0.4,3.7831533477321813
350,1,0.5,3.798704103671706
350,1,0.6,3.8552915766738662
350,1,0.7,3.857451403887689
350,1,0.8,3.858747300215983
350,1,0.9,3.858747300215983
350,1,1.0,3.8548596112311015
350,1,1.1,3.8548596112311015
350,1,1.2,3.8548596112311015
350,1,1.3,3.8548596112311015
350,1,1.4,3.8526997840172785
350,1,1.5,3.8466522678185746
350,1,1.6,3.8488120950323976
350,1,1.7,3.8488120950323976
350,1,1.8,3.8488120950323976
350,1,1.9,3.8501079913606913
350,1,2.0,3.8578833693304535
400,1,0.0,3.8116630669546434
400,1,0.1,3.7740820734341254
400,1,0.2,3.765010799136069
400,1,0.3,3.7697624190064793
400,1,0.4,3.7766738660907127
400,1,0.5,3.791792656587473
400,1,0.6,3.8578833693304535
400,1,0.7,3.8600431965442765
400,1,0.8,3.86133909287257
400,1,0.9,3.86133909287257
400,1,1.0,3.857451403887689
400,1,1.1,3.857451403887689
400,1,1.2,3.858747300215983
400,1,1.3,3.858747300215983
400,1,1.4,3.8570194384449246
400,1,1.5,3.85097192224622
400,1,1.6,3.853131749460043
400,1,1.7,3.853131749460043
400,1,1.8,3.853131749460043
400,1,1.9,3.854427645788337
400,1,2.0,3.8622030237580995
